pathway	level1	level2	level3
ko05164	Influenza A	Infectious diseases: Viral	Human Diseases
ko05165	Human papillomavirus infection	Infectious diseases: Viral	Human Diseases
ko05166	HTLV-I infection	Infectious diseases: Viral	Human Diseases
ko05167	Kaposi's sarcoma-associated herpesvirus infection	Infectious diseases: Viral	Human Diseases
ko05168	Herpes simplex infection	Infectious diseases: Viral	Human Diseases
ko05169	Epstein-Barr virus infection	Infectious diseases: Viral	Human Diseases
ko05200	Pathways in cancer	Cancers: Overview	Human Diseases
ko05202	Transcriptional misregulation in cancer	Cancers: Overview	Human Diseases
ko05203	Viral carcinogenesis	Cancers: Overview	Human Diseases
ko05204	Chemical carcinogenesis	Cancers: Overview	Human Diseases
ko05205	Proteoglycans in cancer	Cancers: Overview	Human Diseases
ko05206	MicroRNAs in cancer	Cancers: Overview	Human Diseases
ko05210	Colorectal cancer	Cancers: Specific types	Human Diseases
ko05211	Renal cell carcinoma	Cancers: Specific types	Human Diseases
ko05212	Pancreatic cancer	Cancers: Specific types	Human Diseases
ko05213	Endometrial cancer	Cancers: Specific types	Human Diseases
ko05214	Glioma	Cancers: Specific types	Human Diseases
ko05215	Prostate cancer	Cancers: Specific types	Human Diseases
ko05216	Thyroid cancer	Cancers: Specific types	Human Diseases
ko05217	Basal cell carcinoma	Cancers: Specific types	Human Diseases
ko05218	Melanoma	Cancers: Specific types	Human Diseases
ko05219	Bladder cancer	Cancers: Specific types	Human Diseases
ko05220	Chronic myeloid leukemia	Cancers: Specific types	Human Diseases
ko05221	Acute myeloid leukemia	Cancers: Specific types	Human Diseases
ko05222	Small cell lung cancer	Cancers: Specific types	Human Diseases
ko05223	Non-small cell lung cancer	Cancers: Specific types	Human Diseases
ko05224	Breast cancer	Cancers: Specific types	Human Diseases
ko05225	Hepatocellular carcinoma	Cancers: Specific types	Human Diseases
ko05226	Gastric cancer	Cancers: Specific types	Human Diseases
ko05230	Central carbon metabolism in cancer	Cancers: Overview	Human Diseases
ko05231	Choline metabolism in cancer	Cancers: Overview	Human Diseases
ko05310	Asthma	Immune diseases	Human Diseases
ko05320	Autoimmune thyroid disease	Immune diseases	Human Diseases
ko05321	Inflammatory bowel disease (IBD)	Immune diseases	Human Diseases
ko05322	Systemic lupus erythematosus	Immune diseases	Human Diseases
ko05323	Rheumatoid arthritis	Immune diseases	Human Diseases
ko05330	Allograft rejection	Immune diseases	Human Diseases
ko05332	Graft-versus-host disease	Immune diseases	Human Diseases
ko05340	Primary immunodeficiency	Immune diseases	Human Diseases
ko05410	Hypertrophic cardiomyopathy (HCM)	Cardiovascular diseases	Human Diseases
ko05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	Cardiovascular diseases	Human Diseases
ko05414	Dilated cardiomyopathy (DCM)	Cardiovascular diseases	Human Diseases
ko05416	Viral myocarditis	Cardiovascular diseases	Human Diseases
ko05418	Fluid shear stress and atherosclerosis	Cardiovascular diseases	Human Diseases
