ko	description	ptw_count
K00001	alcohol dehydrogenase [EC:1.1.1.1]	13
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	9
K00003	homoserine dehydrogenase [EC:1.1.1.3]	8
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	1
K00005	glycerol dehydrogenase [EC:1.1.1.6]	3
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	3
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	3
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	3
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	5
K00011	aldehyde reductase [EC:1.1.1.21]	6
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	4
K00013	histidinol dehydrogenase [EC:1.1.1.23]	4
K00014	shikimate dehydrogenase [EC:1.1.1.25]	5
K00015	glyoxylate reductase [EC:1.1.1.26]	4
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	9
K00018	glycerate dehydrogenase [EC:1.1.1.29]	8
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	3
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	2
K00021	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	6
K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	13
K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]	4
K00024	malate dehydrogenase [EC:1.1.1.37]	12
K00025	malate dehydrogenase [EC:1.1.1.37]	11
K00026	malate dehydrogenase [EC:1.1.1.37]	10
K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	3
K00028	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	5
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	5
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	8
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	11
K00032	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	4
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	7
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	3
K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	2
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	8
K00037	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]	3
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	2
K00039	ribitol 2-dehydrogenase [EC:1.1.1.56]	2
K00040	fructuronate reductase [EC:1.1.1.57]	2
K00041	tagaturonate reductase [EC:1.1.1.58]	2
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	2
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	3
K00044	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]	3
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	1
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	0
K00048	lactaldehyde reductase [EC:1.1.1.77]	3
K00049	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	6
K00050	hydroxypyruvate reductase [EC:1.1.1.81]	4
K00051	malate dehydrogenase (NADP+) [EC:1.1.1.82]	5
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	6
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	7
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	3
K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	7
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	2
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	7
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	7
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	1
K00061	11-cis-retinol dehydrogenase [EC:1.1.1.315]	1
K00062	D-arabinose 1-dehydrogenase [EC:1.1.1.116]	0
K00063	D-arabinose 1-dehydrogenase [EC:1.1.1.117]	0
K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	5
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	1
K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	3
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	3
K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	1
K00069	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]	1
K00070	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]	6
K00071	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]	2
K00072	sepiapterin reductase [EC:1.1.1.153]	2
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	2
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	5
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	3
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	1
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	3
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	2
K00079	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]	5
K00081	carbonyl reductase 2 [EC:1.1.1.184]	3
K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	3
K00083	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]	3
K00084	carbonyl reductase 3 [EC:1.1.1.184]	3
K00085	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]	0
K00086	1,3-propanediol dehydrogenase [EC:1.1.1.202]	2
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	3
K00088	IMP dehydrogenase [EC:1.1.1.205]	4
K00089	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]	1
K00090	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	7
K00091	dihydroflavonol-4-reductase [EC:1.1.1.219]	0
K00093	methanol dehydrogenase [EC:1.1.1.244]	3
K00094	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	2
K00095	mannitol dehydrogenase [EC:1.1.1.255]	0
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	1
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	2
K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]	0
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	4
K00100	butanol dehydrogenase [EC:1.1.1.-]	2
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	2
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	1
K00103	L-gulonolactone oxidase [EC:1.1.3.8]	2
K00104	glycolate oxidase [EC:1.1.3.15]	5
K00105	alpha-glycerophosphate oxidase [EC:1.1.3.21]	2
K00106	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	7
K00107	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]	0
K00108	choline dehydrogenase [EC:1.1.99.1]	2
K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	1
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	2
K00112	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	2
K00113	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	2
K00114	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	6
K00115	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]	4
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	7
K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	4
K00118	glucose-fructose oxidoreductase [EC:1.1.99.28]	0
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	16
K00122	formate dehydrogenase [EC:1.17.1.9]	5
K00123	formate dehydrogenase major subunit [EC:1.17.1.9]	5
K00124	formate dehydrogenase iron-sulfur subunit	5
K00125	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	4
K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]	5
K00127	formate dehydrogenase subunit gamma	5
K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	18
K00129	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	11
K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	2
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	5
K00132	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	4
K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	10
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	10
K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	7
K00137	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	3
K00138	aldehyde dehydrogenase [EC:1.2.1.-]	5
K00139	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]	4
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	6
K00141	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	6
K00142	acyl-CoA synthetase [EC:6.2.1.-]	0
K00143	L-2-aminoadipate reductase [EC:1.2.1.95]	5
K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	6
K00146	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	4
K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	6
K00148	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	5
K00149	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]	15
K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	8
K00151	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	3
K00152	salicylaldehyde dehydrogenase [EC:1.2.1.65]	4
K00153	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]	0
K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	0
K00156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	1
K00157	aldehyde oxidase [EC:1.2.3.1]	10
K00158	pyruvate oxidase [EC:1.2.3.3]	2
K00161	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	11
K00162	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	11
K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	8
K00164	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	8
K00166	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	5
K00167	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	5
K00169	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	13
K00170	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	13
K00171	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	13
K00172	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	13
K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	10
K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	10
K00176	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	5
K00177	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	5
K00179	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	0
K00180	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	0
K00181	O-palmitoleoyl transferase [EC:2.3.1.250]	1
K00182	wingless-type MMTV integration site family, member 2	14
K00183	prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit	0
K00184	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	0
K00185	prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit	0
K00186	2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]	2
K00187	2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]	2
K00188	2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]	2
K00189	2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]	2
K00192	acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.7.4]	3
K00193	acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]	3
K00194	acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]	4
K00195	acetyl-CoA decarbonylase/synthase complex subunit epsilon	3
K00196	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	5
K00197	acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]	4
K00198	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	5
K00200	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	5
K00201	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	4
K00202	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	4
K00203	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	4
K00204	4Fe-4S ferredoxin	4
K00205	4Fe-4S ferredoxin	4
K00207	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]	5
K00208	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	6
K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	6
K00210	prephenate dehydrogenase [EC:1.3.1.12]	6
K00211	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]	4
K00212	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]	2
K00213	7-dehydrocholesterol reductase [EC:1.3.1.21]	3
K00214	biliverdin reductase [EC:1.3.1.24]	3
K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	7
K00216	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	3
K00217	maleylacetate reductase [EC:1.3.1.32]	7
K00218	protochlorophyllide reductase [EC:1.3.1.33]	3
K00219	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	0
K00220	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]	5
K00221	alkylmercury lyase [EC:4.99.1.2]	0
K00222	Delta14-sterol reductase [EC:1.3.1.70]	4
K00223	Delta24(24(1))-sterol reductase [EC:1.3.1.71]	3
K00225	L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]	3
K00226	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	2
K00227	Delta7-sterol 5-desaturase [EC:1.14.19.20]	4
K00228	coproporphyrinogen III oxidase [EC:1.3.3.3]	3
K00230	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	3
K00231	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	3
K00232	acyl-CoA oxidase [EC:1.3.3.6]	9
K00234	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	12
K00235	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	12
K00236	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	12
K00237	succinate dehydrogenase (ubiquinone) membrane anchor subunit	12
K00239	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	10
K00240	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	9
K00241	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	9
K00242	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	9
K00243	uncharacterized protein	0
K00244	fumarate reductase flavoprotein subunit [EC:1.3.5.4]	11
K00245	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	11
K00246	fumarate reductase subunit C	11
K00247	fumarate reductase subunit D	11
K00248	butyryl-CoA dehydrogenase [EC:1.3.8.1]	8
K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	10
K00251	3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]	3
K00252	glutaryl-CoA dehydrogenase [EC:1.3.8.6]	7
K00253	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	2
K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]	2
K00255	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]	4
K00256	isoquinoline 1-oxidoreductase [EC:1.3.99.16]	0
K00257	acyl-ACP dehydrogenase [EC:1.3.99.-]	0
K00259	alanine dehydrogenase [EC:1.4.1.1]	3
K00260	glutamate dehydrogenase [EC:1.4.1.2]	5
K00261	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	8
K00262	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	4
K00263	leucine dehydrogenase [EC:1.4.1.9]	5
K00264	glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	7
K00265	glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	7
K00266	glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	7
K00270	phenylalanine dehydrogenase [EC:1.4.1.20]	6
K00271	valine dehydrogenase (NAD+) [EC:1.4.1.23]	4
K00272	D-aspartate oxidase [EC:1.4.3.1]	2
K00273	D-amino-acid oxidase [EC:1.4.3.3]	7
K00274	monoamine oxidase [EC:1.4.3.4]	15
K00275	pyridoxamine 5-phosphate oxidase [EC:1.4.3.5]	3
K00276	primary-amine oxidase [EC:1.4.3.21]	8
K00277	protein-lysine 6-oxidase [EC:1.4.3.13]	0
K00278	L-aspartate oxidase [EC:1.4.3.16]	3
K00279	cytokinin dehydrogenase [EC:1.5.99.12]	1
K00280	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]	0
K00281	glycine dehydrogenase [EC:1.4.4.2]	6
K00282	glycine dehydrogenase subunit 1 [EC:1.4.4.2]	6
K00283	glycine dehydrogenase subunit 2 [EC:1.4.4.2]	6
K00284	glutamate synthase (ferredoxin) [EC:1.4.7.1]	3
K00285	D-amino-acid dehydrogenase [EC:1.4.5.1]	1
K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	5
K00287	dihydrofolate reductase [EC:1.5.1.3]	4
K00288	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]	2
K00289	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]	1
K00290	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	6
K00293	saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]	6
K00294	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	3
K00295	methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]	2
K00296	D-nopaline dehydrogenase [EC:1.5.1.19]	1
K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	6
K00298	N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]	0
K00299	FMN reductase [EC:1.5.1.38]	3
K00301	sarcosine oxidase [EC:1.5.3.1]	2
K00302	sarcosine oxidase, subunit alpha [EC:1.5.3.1]	2
K00303	sarcosine oxidase, subunit beta [EC:1.5.3.1]	2
K00304	sarcosine oxidase, subunit delta [EC:1.5.3.1]	2
K00305	sarcosine oxidase, subunit gamma [EC:1.5.3.1]	2
K00306	sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]	4
K00307	reticuline oxidase [EC:1.21.3.3]	3
K00308	N1-acetylpolyamine oxidase [EC:1.5.3.13]	1
K00310	pyrimidodiazepine synthase [EC:1.5.4.1]	2
K00311	electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	0
K00312	wingless-type MMTV integration site family, member 3	15
K00313	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	0
K00314	sarcosine dehydrogenase [EC:1.5.8.3]	2
K00315	dimethylglycine dehydrogenase [EC:1.5.8.4]	2
K00316	spermidine dehydrogenase [EC:1.5.99.6]	3
K00317	dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]	3
K00318	proline dehydrogenase [EC:1.5.-.-]	4
K00319	methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]	4
K00320	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]	4
K00322	NAD(P) transhydrogenase [EC:1.6.1.1]	2
K00323	NAD(P) transhydrogenase [EC:1.6.1.2]	2
K00324	NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]	2
K00325	NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]	2
K00326	cytochrome-b5 reductase [EC:1.6.2.2]	1
K00327	NADPH-ferrihemoprotein reductase [EC:1.6.2.4]	0
K00329	NADH dehydrogenase [EC:1.6.5.3]	1
K00330	NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]	2
K00331	NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]	2
K00332	NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]	2
K00333	NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]	2
K00334	NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]	2
K00335	NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]	2
K00336	NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]	2
K00337	NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]	2
K00338	NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]	2
K00339	NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]	2
K00340	NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]	2
K00341	NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]	2
K00342	NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]	2
K00343	NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]	2
K00344	NADPH2:quinone reductase [EC:1.6.5.5]	0
K00346	Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:1.6.5.8]	0
K00347	Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:1.6.5.8]	0
K00348	Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8]	0
K00349	Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.8]	0
K00350	Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.8]	0
K00351	Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.8]	0
K00354	NADPH2 dehydrogenase [EC:1.6.99.1]	0
K00355	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	5
K00356	NADH dehydrogenase [EC:1.6.99.3]	1
K00357	dihydropteridine reductase [EC:1.5.1.34]	2
K00360	assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]	2
K00362	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	2
K00363	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	2
K00364	GMP reductase [EC:1.7.1.7]	1
K00365	urate oxidase [EC:1.7.3.3]	4
K00366	ferredoxin-nitrite reductase [EC:1.7.7.1]	2
K00367	ferredoxin-nitrate reductase [EC:1.7.7.2]	2
K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]	2
K00370	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	3
K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	3
K00372	assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	2
K00373	nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	1
K00374	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	3
K00375	GntR family transcriptional regulator / MocR family aminotransferase	0
K00376	nitrous-oxide reductase [EC:1.7.2.4]	2
K00380	sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	3
K00381	sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	3
K00382	dihydrolipoamide dehydrogenase [EC:1.8.1.4]	12
K00383	glutathione reductase (NADPH) [EC:1.8.1.7]	2
K00384	thioredoxin reductase (NADPH) [EC:1.8.1.9]	1
K00385	anaerobic sulfite reductase subunit C	3
K00387	sulfite oxidase [EC:1.8.3.1]	3
K00389	putative membrane protein	0
K00390	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	3
K00392	sulfite reductase (ferredoxin) [EC:1.8.7.1]	3
K00394	adenylylsulfate reductase, subunit A [EC:1.8.99.2]	3
K00395	adenylylsulfate reductase, subunit B [EC:1.8.99.2]	3
K00399	methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]	4
K00400	methyl coenzyme M reductase system, component A2	3
K00401	methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]	4
K00402	methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]	4
K00404	cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]	3
K00405	cytochrome c oxidase cbb3-type subunit II	3
K00406	cytochrome c oxidase cbb3-type subunit III	3
K00407	cytochrome c oxidase cbb3-type subunit IV	3
K00408	wingless-type MMTV integration site family, member 4	16
K00410	ubiquinol-cytochrome c reductase cytochrome b/c1 subunit	3
K00411	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	9
K00412	ubiquinol-cytochrome c reductase cytochrome b subunit	9
K00413	ubiquinol-cytochrome c reductase cytochrome c1 subunit	9
K00414	ubiquinol-cytochrome c reductase core subunit 1	8
K00415	ubiquinol-cytochrome c reductase core subunit 2	8
K00416	ubiquinol-cytochrome c reductase subunit 6	8
K00417	ubiquinol-cytochrome c reductase subunit 7	8
K00418	ubiquinol-cytochrome c reductase subunit 8	8
K00419	ubiquinol-cytochrome c reductase subunit 9	8
K00420	ubiquinol-cytochrome c reductase subunit 10	8
K00422	polyphenol oxidase [EC:1.10.3.1]	4
K00423	L-ascorbate oxidase [EC:1.10.3.3]	2
K00424	cytochrome bd-I ubiquinol oxidase subunit X [EC:1.10.3.14]	2
K00425	cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]	3
K00426	cytochrome bd ubiquinol oxidase subunit II [EC:1.10.3.14]	3
K00427	L-lactate permease	0
K00428	cytochrome c peroxidase [EC:1.11.1.5]	0
K00430	peroxidase [EC:1.11.1.7]	3
